2006,8,30,1,19.2,31.3,8.65,NaN,0,0.323,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2006,9,27,1,18.4,31.3,10.01,NaN,1.93,0.742,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,1,14,1,6.4,31.4,10.44,NaN,0.09,0.308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007,2,27,1,1.1,30.1,12.52,NaN,0.34,0.399,NaN,NaN,NaN,NaN,6.3,0,NaN
2007,3,27,1,4.6,30.7,11.27,NaN,0,0.116,NaN,NaN,8.1,0.529,1.53,0.13,NaN
2007,5,2,1,10.3,31.1,9.22,NaN,0,0.243,NaN,NaN,5.76,0.439,0.57,0.08,0.52
2007,5,23,1,11.7,29.5,9.67,NaN,0.52,0.31,NaN,NaN,8.03,0.477,0.65,0.1,1.12
2007,9,24,1,18.5,31.8,7.86,NaN,0,0.354,NaN,NaN,7.81,0.6,0.87,0.08,0.09
2007,11,5,1,11.3,32.2,8.67,NaN,3.84,0.799,NaN,NaN,15.53,0.892,1.8,0.32,0.43
2007,12,19,1,5.2,32.2,10.78,NaN,0.74,0.51,NaN,NaN,NaN,1.044,3.45,0.33,0.23
2008,1,17,1,4.1,32.3,11.64,NaN,1.9,0.693,NaN,NaN,8.62,1.063,4.99,0.25,NaN
2008,2,22,1,2.6,31.3,12.59,NaN,3.07,0.596,NaN,NaN,13.22,0.944,5.49,0.5,NaN
2008,3,24,1,3.8,30.9,11.61,NaN,0.11,0.149,NaN,NaN,7.05,0.477,0.71,0.36,NaN
2008,4,25,1,11.7,31.5,10.07,NaN,0,0.111,NaN,NaN,9.56,0.673,0.99,0.16,NaN
2008,5,22,1,12.2,30,8.64,NaN,0,0.285,NaN,NaN,10.8,0.709,0.81,0.24,0.57
2008,6,18,1,17.9,30.5,8.49,NaN,0.1,0.174,NaN,NaN,NaN,NaN,0.55,0.29,0.35
2008,7,17,1,25.7,31.3,6.52,NaN,0.07,0.077,NaN,NaN,4.68,0.876,0.61,0.4,0.45
